auth_false,net_traffic,net_traffic_auth,net_users,auth_store,train,route,routes_route,ip_count,auth_count,service_availability,vpn_ip,id,depart,arrive,train_name,p_count,count,real_route,route_arrival,station_of_departure,station_of_arrival,equipment,cron,availability,route_current,code,type,films_count,films_available,get_carriage,cont_users,actual_carriage,scan_carriage,rdl_api_version,comment_c,service_status_auth,service_status_nginx,service_status_dhcpd,service_status_ipcad,service_status_squid,source_car,auth_version,daemon_version,content_music,content_books,content_audio_book,content_films,content_press,http_codes_200,http_codes_404,http_codes_404_percent,core_version,docker_status,dockers_errors,dockers_errors_status,temp,temp_second
,,,,,092-16870,081И,081И,,,,,634646,2021-12-24T09:06:00,2021-12-28T05:10:00,,,1,,,УЛАН-УДЭ,МОСКВА-П-КАЗ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,084-16182,008Н,008Н,,,,,634548,2021-12-24T09:25:00,2021-12-29T08:28:00,,,1,,,ОМСК-ПАС,ВЛАДИВОСТОК,"Incarnet ",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,083-17315,140Н,140Н,,,,,634651,2021-12-24T10:44:00,2021-12-28T05:32:00,,,1,,,БАРНАУЛ,АДЛЕР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,077-16012,345Е,345Е,,,,,634739,2021-12-24T11:29:00,2021-12-28T18:27:00,,,1,,,"НИЖНЕВАРТ I",АДЛЕР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,018-17253,061М,061М,,,,,635009,2021-12-24T11:50:00,2021-12-30T13:58:00,,,1,,,ВЛАДИВОСТОК,МОСКВА-П-ЯР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,092-16045,082И,082И,,,,,634645,2021-12-24T13:10:00,2021-12-28T11:14:00,,,1,,,МОСКВА-П-КАЗ,УЛАН-УДЭ,"Incarnet 403",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,085-16619,142Е,142Е,,,,,635010,2021-12-24T13:32:00,2021-12-27T15:00:00,,,1,,,"ПЕРМЬ II",СИМФЕРОПОЛЬ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,083-17265,140С,140С,,,,,634650,2021-12-24T13:44:00,2021-12-28T10:33:00,,,1,,,АДЛЕР,БАРНАУЛ,"Incarnet 619",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,094-17270,070Ч,070Ч,38,7,0,,634700,2021-12-24T13:50:00,2021-12-29T00:11:00,094-17270,383,96,030Ч,"2021-08-21T08:53:00 383
",МОСКВА-П-ЯР,"ЧИТА II","Incarnet 000",1,2021-12-24T18:14:30,,1,BRANDED,0,,0,1,8,0,2.4.1,,1,1,1,,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,8206,12,0,5.13.13-1.el7.elrepo.x86_64,1,,,,
,,,,,088-16647,067Ы,067Ы,,,,,634620,2021-12-24T14:00:00,2021-12-27T16:57:00,,,1,,,АБАКАН,МОСКВА-П-ЯР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,094-17098,069Ч,069Ч,,,,,634701,2021-12-24T15:00:00,2021-12-29T04:56:00,,,1,,,"ЧИТА II",МОСКВА-П-ЯР,"Incarnet 000",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
